,Nm,duration
0,10.0,0.012257671356201172
1,17.78279410038923,0.013932228088378906
2,31.622776601683793,0.017304325103759767
3,56.23413251903491,0.023467826843261718
4,100.0,0.03450264930725098
5,177.82794100389228,0.05334649085998535
6,316.22776601683796,0.0878519058227539
7,562.341325190349,0.15070781707763672
8,1000.0,0.2598137378692627
9,1778.2794100389228,0.451609468460083
10,3162.2776601683795,0.7918210029602051
11,5623.413251903491,1.4001953601837158
12,10000.0,2.486188459396362
13,17782.794100389227,4.407974910736084
14,31622.776601683792,7.837744140625
15,56234.13251903491,13.947823095321656
16,100000.0,24.77951741218567
17,177827.94100389228,44.07152695655823
18,316227.7660168379,78.42846846580505
19,562341.3251903491,139.66626372337342
20,1000000.0,248.35671963691712
