,Nm,duration
0,10.0,0.5900478839874268
1,17.78279410038923,0.5156184673309326
2,31.622776601683793,0.5149771213531494
3,56.23413251903491,0.5144947528839111
4,100.0,0.5183040618896484
5,177.82794100389228,0.5229705333709717
6,316.22776601683796,0.5402487277984619
7,562.341325190349,0.5735323905944825
8,1000.0,0.6390113830566406
9,1778.2794100389228,0.6380907535552979
10,3162.2776601683795,0.6370635032653809
11,5623.413251903491,0.6411929130554199
12,10000.0,0.6400983333587646
13,17782.794100389227,0.6407638549804687
14,31622.776601683792,0.6389039993286133
15,56234.13251903491,0.8922882080078125
16,100000.0,1.1588040351867677
17,177827.94100389228,1.4170219421386718
18,316227.7660168379,2.153800344467163
19,562341.3251903491,3.4457598686218263
20,1000000.0,5.680537176132202
21,1778279.410038923,9.655731964111329
22,3162277.6601683795,16.631002759933473
23,5623413.251903491,29.062876510620118
24,10000000.0,51.20237994194031
