,Nm,duration
0,10.0,0.01768794059753418
1,17.78279410038923,0.01753654479980469
2,31.622776601683793,0.017601728439331055
3,56.23413251903491,0.017673683166503907
4,100.0,0.01804485321044922
5,177.82794100389228,0.018735933303833007
6,316.22776601683796,0.01990981101989746
7,562.341325190349,0.022046279907226563
8,1000.0,0.026343536376953126
9,1778.2794100389228,0.03230891227722168
10,3162.2776601683795,0.04299650192260742
11,5623.413251903491,0.06252198219299317
12,10000.0,0.09665899276733399
13,17782.794100389227,0.1569610595703125
14,31622.776601683792,0.26712908744812014
15,56234.13251903491,0.5255893230438232
16,100000.0,1.0094836711883546
17,177827.94100389228,1.6587637424468995
18,316227.7660168379,2.8953856945037844
19,562341.3251903491,6.4237500667572025
20,1000000.0,16.44899892807007
21,1778279.410038923,33.91218590736389
22,3162277.6601683795,65.74473738670349
23,5623413.251903491,120.0578673839569
24,10000000.0,220.60285930633546
