,Nm,duration
0,10.0,0.40898661613464354
1,17.78279410038923,0.408646821975708
2,31.622776601683793,0.40731325149536135
3,56.23413251903491,0.4081264495849609
4,100.0,0.4125056266784668
5,177.82794100389228,0.4168276309967041
6,316.22776601683796,0.43012223243713377
7,562.341325190349,0.4969069480895996
8,1000.0,0.5247258186340332
9,1778.2794100389228,0.5184723854064941
10,3162.2776601683795,0.5188576698303222
11,5623.413251903491,0.5187254905700683
12,10000.0,0.5199615478515625
13,17782.794100389227,0.5207198143005372
14,31622.776601683792,0.5392413139343262
15,56234.13251903491,0.699086046218872
16,100000.0,0.8183766365051269
17,177827.94100389228,1.0228995323181151
18,316227.7660168379,1.8049409866333008
19,562341.3251903491,2.47538104057312
20,1000000.0,3.5645535945892335
21,1778279.410038923,5.362429523468018
22,3162277.6601683795,8.71311092376709
23,5623413.251903491,14.657717990875245
24,10000000.0,25.227142906188966
